Pedal	Category	Type	Old Rating	Old Tag	New Rating	New Tag	Change
Boss AC-3 Acoustic Simulator	amp	Acoustic Sim	6	amplifier	3	direct	↓
Boss IR-200	amp	Amp Sim	10	simulator	6	amplifier	↓
DSM & Humboldt Simplifier	amp	Amp Sim	9	simulator	6	amplifier	↓
DSM & Humboldt Simplifier DLX	amp	Amp Sim	10	simulator	8	simulator	↓
Hotone Omni AC	amp	Cab Sim	6	amplifier	2	direct	↓
Line 6 HX Stomp	amp	Amp Sim	10	simulator	9	simulator	↓
Mooer Radar	amp	Cab Sim	7	amplifier	2	direct	↓
Neunaber Iconoclast	amp	Cab Sim	9	simulator	3	direct	↓
NUX Solid Studio	amp	Cab Sim	8	simulator	7	amplifier	↓
Tech 21 SansAmp Classic	amp	Amp Sim	7	amplifier	8	simulator	↑
Two Notes Cab M+	amp	Cab Sim	9	simulator	4	amplifier	↓
Walrus Audio ACS1	amp	Amp Sim	9	simulator	7	amplifier	↓
Boss DD-6	delay	Digital	9	time traveler	6	spelunker	↓
Boss DD-7	delay	Digital	10	time traveler	6	spelunker	↓
Boss DD-8	delay	Digital	7	long term memory	6	spelunker	↓
Boss DM-2 Delay	delay	Analog	7	long term memory	4	repeater	↓
Boss DM-2W Waza	delay	Analog	8	long term memory	4	repeater	↓
Boss DM-2W Waza Craft Delay	delay	Analog	8	long term memory	4	repeater	↓
Caroline Guitar Company Megabyte	delay	Digital	8	long term memory	7	long term memory	↓
Catalinbread Belle Epoch	delay	Tape	9	time traveler	4	repeater	↓
Catalinbread Belle Epoch Deluxe	delay	Tape	7	long term memory	8	long term memory	↑
Chase Bliss Thermae	delay	Analog	9	time traveler	6	spelunker	↓
Chase Bliss Tonal Recall	delay	Analog	9	time traveler	7	long term memory	↓
Death By Audio Echo Master	delay	Analog	8	long term memory	6	spelunker	↓
Death By Audio Reverberation Machine	reverb	Lo-Fi	9	time traveler	6	drippy	↓
DigiTech Obscura	delay	Digital	9	time traveler	7	long term memory	↓
DigiTech TimeBender	delay	Digital	8	long term memory	9	time traveler	↑
Donner Yellow Fall	delay	Analog	4	repeater	3	repeater	↓
EarthQuaker Devices Space Spiral	delay	Analog	8	long term memory	6	spelunker	↓
Echoplex EP-3	delay	Tape	8	long term memory	4	repeater	↓
Electro-Harmonix Canyon	delay	Digital	10	time traveler	4	repeater	↓
Electro-Harmonix Deluxe Memory Boy	delay	Analog	8	long term memory	7	long term memory	↓
Electro-Harmonix Deluxe Memory Man	delay	Analog	10	time traveler	6	spelunker	↓
Electro-Harmonix Deluxe Memory Man (Original)	delay	Analog	9	time traveler	6	spelunker	↓
